Tweet,Etiket
Allah'ım çıldıracağım. Yemin ederim çıldıracağım sinirimden. Bir yerden de çıkaramıyorum cam çerçeve indireceğim şimdi ne varsa.,Negatif
site ne zaman çalıştıda ürün stokları bitti diyor mal mısınız oğlum kimi kandırıyorsunuz!,Negatif
Sebebi neydi ki diye bağıracağım şimdi az kaldı,Negatif
Black friday ne amk bu yıl çıkardınız bu bokuda mal mısınız nesiniz.,Negatif
kısa kısa cevaplar vericeksen niye yazıyorsun gerizekalı,Negatif
cinnet geçiriyorum iyice çıldırttılar beni ,Negatif
Allah'ım etraf beyinsiz kaynıyor çıldıracağım ya,Negatif
Bok gibi geçti sınavım çıldıracağım,Negatif
Allah kahretsin bunları öyle öfkeliyim ki diyecek söz bulamıyorum,Negatif
"Gerçek gerizekalı, deli bir kitle var, ama öyle böyle değil altına sıçmalı, bokuyla oynamalı falan. ",Negatif
Allah belamı versin ki günün üç saati keyfim yerindeyse geri kalan yirmi bir saat sinir küpü oluyorum,Negatif
Bütün gün yaptığım stres sonucu hiçbir şey olmamış gibi davranan ailem var bu tavırları beni delirtecek  ,Negatif
Erkekleri artık anlayamıyorum çıldıracağım,Negatif
Annemden ve babamdan nefret ediyorum. ,Negatif
Tek bir kelimeyle herşeyin düzeleceğini sanan aptallar sizden nefret ediyorum ,Negatif
"Bir kitaba 25 tl verdiğim için gerizekalı diyen kişilerin, bir ruja 60 tl vermesi kaçıncı level",Negatif
pembe tayt giydirdiniz fileli çorap giydirdiniz etek giydirdiniz hatta gelinlik giydirdiniz güldüm geçtim ama her şakanın bir dozu vardır abartmayın lütfen o kadar da değil,Negatif
Lan olum lan ne gerizekalısınız lan yine sinirlendim,Negatif
Nerede lan benim çikolatalı sütüm bak sinirlendim.,Negatif
Sizi zerre umursamayan insanlar için deli gibi üzülüyorsunuz. mal mısınız?,Negatif
Kendimi karşıma alıp konuşmak istiyorum bak gerizekalı bu iş böyle olmaz diye.,Negatif
Yarın sabah uyumadığım her dakika için kendime küfür edeceğim,Negatif
Ben takip atıyorum siz GT atmıyorsunuz ve ben size sövüyorum,Negatif
Allah belanı versin tudor cehennemde yan. nerden geldin başımıza kardeşim,Negatif
Lan padişah diye bağırıyor gerizekalılar ,Negatif
Susmasam kendi sesimde delireceğim. ,Negatif
Admin Bey size acayip sövüyorlar. Bilmediğim küfürler öğrendim.,Negatif
Tüm Türkiye de size yapılan küfürler ile inliyor şu an. Şerefsizler. Hain sürüsü,Negatif
Hayat bana cinnet geçir diye ısrarla olay çıkartıyor karşıma,Negatif
TBMM kürsüsünden sert sözler: Demirören ve ekibi Türk futbolundan defolup gitsin ,Negatif
Sosyal medya dedikoduları o kadar çok baymaya başladı ki artık ağız dolusu küfür edeceğim yeter,Negatif
Şimdi size soruyorum mal mısınız amk,Negatif
"Terörden beslenen, övünen ve geçinen, destek veren, destek alan, yanında duran göz yuman kim varsa Allah belasını versin ",Negatif
1 milyon 200 bin TL yiyin devletin malı yiyin yemeyen keriz zaten anlayamıyorum bu insanlar beni sinirden öldürücek ,Negatif
Kızlar salak mısınız gidin okuyun mal gibi evleniyorsunuz,Negatif
Allah kimseyi gerizekalı insanlarla sınamasın,Negatif
Ben niye böyle birşeye sinirlendim lan.,Negatif
Öğrencilerime test çözdürürken hata yaptıklarında Aynur hocam gibi deliriyorum ,Negatif
Nefretimiz elektriğe dönüştürülebilseydi bütün dünyayı aydınlatmaya yeterdi ,Negatif
Her şey bomboş ve çok saçma bugün çok öfkeliyim..,Negatif
Neden kimse Bayern Madrid çıkamazmış gibi davranıyor delireceğim ,Negatif
"Bazı insanlar doğarken mi yoksa sonradan mı gerizekalı oluyor bilemiyorum, iyice bir araştırmak lazım.",Negatif
Ben fake değilim diye bas bas bağıracağım şimdi,Negatif
ya derse yine gidemedim delireceğim ya,Negatif
Yaşadığım sürece negredoya küfür edeceğim,Negatif
Susarak asil olmak bana göre değil illa küfür edeceğim,Negatif
Konserden sonra hepinize küfür edeceğim nefret yorumları yapanlar. Ama şuan Jong dinlemem lazım.,Negatif
hay sikeyim seni gibi yorumcuyu bir de buna para veriyorlar ya sinir oluyorum lan ,Negatif
şu ıslıklayanları küfür edenleri görevliler yaka paça dışarı atsın artık ,Negatif
Hocam insan hiçbir şey bilmese haddini bilmelidir bilmeyenler beni sinirlendiriyor ,Negatif
Okula neden makyaj yapıp geliyosunuz kardeşim mal mısınız,Negatif
ilk defa birisinden bu kadar çok nefret ediyorum ,Negatif
eğitim sistemi cidden berbat saçma sapan gerizekalı bir sistem ,Negatif
bağıracağım şimdi o sen olsan bari diye,Negatif
Tespihimi kaybettim bulamıyorum 2 saattir delireceğim,Negatif
4 saattir uyumaya çalışıyorum ama tık yok imdat diye bağıracağım şimdi,Negatif
Lan kadın jungkooka yürümemiş koşmuş uçmuş bak sinirlendim,Negatif
özelden arıyorsunuz niye konuşmuyorsunuz amk mal mısınız,Negatif
Biri şu uykumu getirsin küfür edeceğim,Negatif
Sen gerizekalının tekisin anlatsam da anlayamazsın ,Negatif
Bazı insanlara kuş beyinli dediğim zaman kuşlara hakaret ettiğimi düşünüyorum. ,Negatif
Allah'ım yediğimiz gole bak çıldıracağım yeter artık,Negatif
Kadına şiddet nasıl bir zavallılık nasıl bir cahilliktir gerizekalılar ,Negatif
Kendimi karşıma alıp konuşmak istiyorum bak gerizekalı bu iş böyle olmaz diye,Negatif
Oğuzhan ağır küfür edeceğim çok az kaldı,Negatif
O kadar mutsuz o kadar korkağım ki kendime çok kızıyorum ,Negatif
kuzenime ödev yaptırıyorum birazdan çıldıracağım sanırım,Negatif
Ya koysana şu tolgayı yeter artık çıldıracağım kafayı yiyorum,Negatif
İnsanın yaşam enerjisini bir anda alıp götüren şeyler beni sinir ediyor ,Negatif
Kendimden nefret etmek için bir sebep daha buldum üzgün olduğumda ne yapacağım belli olmuyor ,Negatif
Ya artık birisi beni anlasın ya birisi ya yeter artık çıldıracağım,Negatif
Yeter artık bir karadenizliyle evlendirip dağlara salın beni çıldıracağım yeter,Negatif
Durduk yere gözüm kanlandı çıldıracağım nazar değdirmeyin yeter,Negatif
Büyük küfür edeceğim zor tutuyorum kendimi,Negatif
Saat 9 dan beri su yok çıldıracağım,Negatif
Gizem yokken hiçbir şey yapasım gelmiyor ya çıldıracağım,Negatif
Telefonumun ekranı tuzla buz oldu anlık kalp krizleri sinir krizlerini atlattım artık onlaynım ,Negatif
Bak küfür edeceğim az kaldı mal beyinliler,Negatif
Bize bu haksızlığı yapanların cehennemde yanacağına hiç şüphem yok ,Negatif
Vurun daha ölmedim diye bağıracağım şimdi,Negatif
Abi niye bu kadar yavaş ve az ve tutkusuzuz çıldıracağım,Negatif
Çantamda en esneyen terliğimle dışarı çıkıp doğru durmayan kim varsa ağzına ağzına vurmak istiyorum.,Negatif
Hoca bitir artık şu özeti bitir daha fazla bekleyemiyorum çıldıracağım,Negatif
Bundan sonra iddaa da 3-5 lira kaybedip yattı diye sövenlere sövüyorum,Negatif
Şu gezme kelimesini alışveriş yapmak olarak algılayan kızlara bir hayli sövüyorum,Negatif
Yağmasın saçımın fönü bozuluyor diyenlerin cidden ağzına vurmak istiyorum.,Negatif
Biz bu trabzona nasıl yenildik düşündükçe sövüyorum sövdükçe sövüyorum yok böyle birşey arkadaş ya,Negatif
Ülke gerizekalı dolu e hal böyle olunca artık bütün zekasızlar beni buluyor diye isyanda edemez olduk.,Negatif
Ne çok gerizekalı insan var bu sitede hepsi o kötü atlara binip defolup gitse keşke,Negatif
Ne mal insanlar var şu dünyada,Negatif
"Kış mevsimi sevenleri kınıyorum, içerliyorum ve kış mevsimi sevenlere sövüyorum",Negatif
Kıza soru atıyorum yapamadım diye diyorki ne attın ona göre indiricem kızım mal mısın,Negatif
Çaresizliğin anasına bacısına sövüyorum bok kafalı çaresizlik,Negatif
Kendimi karşıma alıp konuşmak istiyorum bak gerizekalı bu iş böyle olmaz diye.,Negatif
Gerizekalı prim yaptığını anlamayacağımızı sanıyor,Negatif
Ben annemden boşuna mı yemek yapmayı öğrendim gerizekalı,Negatif
Sinirden delireceğim,Negatif
2 hafta olan devamsızlığımı sen nasıl 4 hafta girersin amk mal mısın ya,Negatif
 ,Negatif
Mal mısın lan sinirimi bozuyorsun,Negatif
bütün gün gerizekalı bir edebiyat ödevi için uğraştığıma inanamıyorum ya nefret ediyorum şu dersten nefret,Negatif
Beni ıslatan araba sahibine sövüyorum :/ ,Negatif
Elektrikler yok delireceğim şarjım olmuş %10,Negatif
Bir bok olduğunda gelip hemen burdan laf sokacağınıza git de doğru düzgün söyle mal mısın,Negatif
"Telefonumun mikrofonu gene bozuldu, delireceğim... Kulaklık girişi de bozuk",Negatif
kim bu tweetine adını yazmayan gerizekalı gelsin alsın,Negatif
Beyin hücresini taneyle mi verdiler lan size bu kadar da olmaz lan nefret ediyorum sizden ,Negatif
görgüsüz insanları duvardan duvara vurmak istiyorum böyle nefret olamaz,Negatif
Lan iki yıldan fazla oldu her gün konuştuk nasıl gidiyorsun lan delireceğim taktik verseydin giderken,Negatif
Nefretimiz elektriğe dönüştürülebilseydi bütün dünyayı aydınlatmaya yeterdi ,Negatif
Sütyenim çok sıkıyor kafayı yiyeceğim şimdi,Negatif
Sabah kalktığımdan beri şunu arıyorum yok kafayı yiyeceğim heryeri alt üst ettim bir prize bakmamışım meğer ,Negatif
Evde on tane çocuk var kafayı yiyeceğim kafalarını duvara falan vuruyolar,Negatif
senin gibi bankanın da müşteri temsilcisinin de Allah belasını versin kudurdum sinirden bak,Negatif
Aynen kudurdum sinirden ama yazmam aramam sormam basıp git hadi,Negatif
Elektrikler gitti sıçıcam böyle işe resmen izlemiyim diye amk kudurdum sinirden ,Negatif
Şimdi burda bi küfür edeceğim 150 kişi takipten çıkacak o kadar doluyum,Negatif
Aşırı agresifim gelmeyin üstüme dedikce geliyorsunuz siz manyak mısınız,Negatif
Radyo dinlerken sinir küpü oldum,Negatif
Saçlarımızla değil de sinirlerimizle oynadığınız için ortalarda sinir küpü gibi geziyoruz,Negatif
Yemekteyiz inci bir patlıcanı kesemiyorsun yalandan sinir oldum,Negatif
Atom diye sokaklarda pervasızca bağırmak istiyorum şu anda ,Negatif
Öfkeliyim sana tüm yaptıklarına ve yapamadıklarına bu defa tamam diyorum bitti ama ben neden senin blanık fotoğrafını bile silemiyorum,Negatif
Hadiseye karşi bir öfkem var nedeni olmadan öfkelendiğim tek insan ya da 987654321. Falan emin değilim ama öfkeliyim,Negatif
Şu an içimden bağırmak geldi yeminle,Negatif
Ödemesini yapmayan müşterileri arayıp WHERE IS MY MONEY diye bağırmak istiyorum ,Negatif
Bu soğukta sümerparkta oturan çiftler gerizekalı yemin ederim,Negatif
Sen eşinin yanında bana niye bakıyorsun hadsiz diye bağırmak istemek,Negatif
Meclise bak esenler arka mahallesi gibi bizi yöneten kitleye bak yumruklar küfürler kavgalar yazıklar olsun hepinize ,Negatif
"İptal edin tüm ligleri bu nedir ya dün birlik diye bağıran ağızlardan beddualar, küfürler çocuğundan çıksın nedir ya liginiz de batsın ",Negatif
Satır satır orul orul küfürler yazmak istiyorum şu an buraya.,Negatif
"Kavgalar, gürültüler, sinir krizleri, geçirilen nöbetler, kırılan eşyalar, küfürler, hakaretler... . Saymakla bitmez.",Negatif
Aklıma geldiğinde küfürler ettiklerim napıyolar acaba yaşıyorlar mı,Negatif
Ziraat bankası senden nefret ediyorum eminim şekerbank senden daha güzel bir bankadır ,Negatif
Mesela ben niye kızdığımı açıklamaya çalışırken daha çok sinirleniyorum,Negatif
Sırf inat ve egonuz yüzünden bu küfürler ,Negatif
"Beyin bedava iken, gerizekalı olmak ciddi bir yetenek işidir... ",Negatif
Çok güzel küfürler biliyorum ama kadına yakışmıyor diyorlar.,Negatif
Aniden kötü hislerin bastırmasından nefret ederim ,Negatif
soruyorum sana adımı neden çaldın gerizekalı,Negatif
Sinirliyken çok yaratıcı küfürler edebiliyorum müthiş bir olay.,Negatif
Yumurtanın sperme gittiği nerde görülmüş gerizekalı ben mi yazıcam.,Negatif
Özür dilenince daha çok sinirleniyorum değiştirmiyor bir şeyi anlasanıza özür dilenecek şeyler yapmayın en basiti,Negatif
Yeter diye bağıracağım şimdi,Negatif
Abi benim mor montum nerde çıldıracağım ya,Negatif
Saçma sapan ağa dizileri mafya dizileri uyduruk polisiyeleri alın da turşusunu kurun Dizimizi harcadınız,Negatif
Dünya üzerinde nefes alan her şeye sinir oluyorum şu an hayvanlar hariç,Negatif
kendi kendime konuşurken başkası araya girince sinirleniyorum,Negatif
"Lütfen hayatımda ki herşey ve herkes net olsun, belirsizlikten nefret ediyorum. Düşünmekten kafayı yiyeceğim",Negatif
"Yemek yedikten sonra, kürdanı ağzına atıp saatlerce o kürdanla gezen tiplerden nefret ediyorum.",Negatif
Abi ısınamıyorum uyuyamıyorum camı açıp bağıracağım şimdi,Negatif
Saçma sapan şeylerle oyalanıyoruz. Hiçbir şey gerçek değil. Biz de,Negatif
Annelerin her şeyi yemek yeme düzensizliğine bağlamalarına sinir oluyorum.,Negatif
Matematikte bu Mutlak Değer konusu mu zor yoksa ben mi malım. çıldıracağım.,Negatif
Ya buraya atılan videonun bozuk olmaması için ne yapmak gerekiyor bilen biri söyleyebilir mi kafayı yiyeceğim,Negatif
Attığım mesaja geç cevap veren insanlardan nefret ediyorum.,Negatif
Mesela ben niye kızdığımı açıklamaya çalışırken daha çok sinirleniyorum.,Negatif
Benimle ilgili yorum yapan saçma sapan insanlara hayatımı açıp baksana sen neresindesin diye göstermek istiyorum.,Negatif
